ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng
329;1;Phêrô Truật;Phêrô Truật;;2018/10/05 01:43:02;1234
330;1;Augustinô Mới;Augustinô Mới;;2018/10/05 01:43:02;1234
331;1;Đaminh Úy;Đaminh Úy;;2018/10/05 01:43:02;1234
332;1;Phanxicô Mậu;Phanxicô Mậu;;2018/10/05 01:43:02;1234
333;1;Stêphanô Vinh;Stêphanô Vinh;;2018/10/05 01:43:02;1234
334;1;Tôma Đệ;Tôma Đệ;;2018/10/05 01:43:02;1234
335;1;Phêrô Canisiô;Phêrô Canisiô;;2018/10/05 01:43:02;1234
336;1;Anrê Dũng Lạc;Anrê Dũng Lạc;;2018/10/05 01:43:02;1234
337;1;Phêrô Thi;Phêrô Thi;;2018/10/05 01:43:02;1234
338;1;Gioan Kêty;Gioan Kêty;;2018/10/05 01:43:02;1234
339;1;Emmanuel;Emmanuel;;2018/10/05 01:43:02;1234
340;1;Stêphanô;Stêphanô;;2018/10/05 01:43:02;1234
341;1;Gioan;Gioan;;2018/10/05 01:43:02;1234
342;1;Tôma Becket;Tôma Becket;;2018/10/05 01:43:02;1234
343;1;Sylvestê;Sylvestê;;2018/10/05 01:43:02;1234
